epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,197.661,0.66697,2.7241,0.92552,0.43831,0.89346,0.6922,0.5746,0.72,2.55586,0.9605,0.000168504,0.000168504,0.000168504
82,199.78,0.66462,2.69042,0.90611,0.41761,0.89942,0.69415,0.57871,0.72099,2.55544,0.95685,0.000166148,0.000166148,0.000166148
83,201.819,0.66841,2.64491,0.92072,0.48642,0.84294,0.70068,0.58439,0.71731,2.50186,0.96377,0.000163792,0.000163792,0.000163792
84,203.904,0.65313,2.69009,0.91434,0.53293,0.83271,0.72291,0.61513,0.68153,2.44663,0.94706,0.000161435,0.000161435,0.000161435
85,206.371,0.67085,2.77124,0.92016,0.49083,0.85119,0.70199,0.59628,0.6704,2.48635,0.94373,0.000159079,0.000159079,0.000159079
86,209.548,0.66026,2.68307,0.91267,0.48735,0.85217,0.70254,0.59917,0.66657,2.54365,0.93887,0.000156723,0.000156723,0.000156723
87,211.703,0.66383,2.63781,0.9068,0.53809,0.84257,0.72659,0.61117,0.68504,2.4912,0.94239,0.000154367,0.000154367,0.000154367
88,213.985,0.6643,2.66566,0.90408,0.48315,0.81544,0.70237,0.59645,0.66615,2.49111,0.94431,0.000152011,0.000152011,0.000152011
89,216.104,0.69243,2.6292,0.91922,0.46411,0.81508,0.68521,0.58341,0.66896,2.51611,0.94962,0.000149654,0.000149654,0.000149654
90,218.228,0.71252,2.75164,0.93339,0.4991,0.81947,0.68598,0.58214,0.67454,2.52112,0.95448,0.000147298,0.000147298,0.000147298
91,220.731,0.67792,2.65315,0.93541,0.53346,0.83842,0.72078,0.61226,0.67257,2.46963,0.95283,0.000144942,0.000144942,0.000144942
92,223.738,0.69021,2.65501,0.91396,0.50469,0.86371,0.72407,0.61461,0.67993,2.45829,0.95374,0.000142586,0.000142586,0.000142586
93,225.9,0.65352,2.61388,0.90651,0.53035,0.8502,0.72686,0.61909,0.6644,2.44555,0.94799,0.00014023,0.00014023,0.00014023
94,228.147,0.66325,2.65922,0.9084,0.55488,0.83758,0.74681,0.63611,0.67552,2.42676,0.95509,0.000137873,0.000137873,0.000137873
95,230.227,0.67581,2.6253,0.91342,0.55663,0.83945,0.74606,0.63623,0.66783,2.40663,0.95334,0.000135517,0.000135517,0.000135517
96,232.404,0.64271,2.56571,0.91537,0.5354,0.83755,0.72423,0.60921,0.69081,2.41149,0.9654,0.000133161,0.000133161,0.000133161
97,235.06,0.68228,2.57072,0.91587,0.51545,0.86247,0.72523,0.60966,0.69141,2.41405,0.96718,0.000130805,0.000130805,0.000130805
98,237.833,0.66257,2.57604,0.9125,0.51023,0.86447,0.7264,0.61963,0.66786,2.43341,0.95948,0.000128449,0.000128449,0.000128449
99,240.066,0.64729,2.54945,0.90409,0.52379,0.82331,0.71453,0.59746,0.71549,2.48173,0.9657,0.000126092,0.000126092,0.000126092
100,242.152,0.6533,2.56386,0.91107,0.53766,0.84047,0.7177,0.61143,0.65619,2.44502,0.94376,0.000123736,0.000123736,0.000123736
101,244.344,0.64329,2.56509,0.92067,0.54849,0.878,0.72731,0.61571,0.67346,2.41298,0.94703,0.00012138,0.00012138,0.00012138
102,246.426,0.66981,2.54718,0.90757,0.56889,0.84101,0.75188,0.62838,0.70356,2.37988,0.95486,0.000119024,0.000119024,0.000119024
103,249.123,0.63447,2.54784,0.89806,0.55462,0.87383,0.75714,0.64991,0.6523,2.36186,0.93946,0.000116668,0.000116668,0.000116668
104,252.121,0.66479,2.55422,0.91757,0.51081,0.9009,0.76323,0.65251,0.66989,2.36649,0.94323,0.000114311,0.000114311,0.000114311
105,254.33,0.64634,2.52776,0.90673,0.51094,0.89502,0.76253,0.64754,0.67812,2.36445,0.94674,0.000111955,0.000111955,0.000111955
106,256.372,0.6582,2.61931,0.91062,0.50587,0.87966,0.74447,0.62201,0.7235,2.38872,0.95871,0.000109599,0.000109599,0.000109599
107,258.432,0.69102,2.56328,0.91118,0.50116,0.84329,0.72532,0.60532,0.7137,2.39971,0.95475,0.000107243,0.000107243,0.000107243
108,260.738,0.62557,2.48118,0.90341,0.51766,0.84391,0.73093,0.61816,0.67746,2.37493,0.9463,0.000104887,0.000104887,0.000104887
109,263.8,0.62362,2.49262,0.89904,0.54797,0.84479,0.73947,0.62989,0.66165,2.36711,0.9406,0.00010253,0.00010253,0.00010253
110,266.47,0.66135,2.56243,0.90657,0.58393,0.85349,0.74692,0.62917,0.68764,2.37469,0.94765,0.000100174,0.000100174,0.000100174
111,268.572,0.65877,2.62723,0.91194,0.60902,0.85019,0.76128,0.62702,0.76186,2.37852,0.97131,9.7818e-05,9.7818e-05,9.7818e-05
112,270.613,0.65556,2.53381,0.902,0.59581,0.85128,0.76565,0.6358,0.73462,2.3575,0.96531,9.54618e-05,9.54618e-05,9.54618e-05
113,272.881,0.63955,2.51858,0.90234,0.59081,0.84106,0.76321,0.64404,0.69501,2.34818,0.95685,9.31056e-05,9.31056e-05,9.31056e-05
114,275.047,0.63536,2.4717,0.89777,0.57791,0.86333,0.76126,0.64923,0.65566,2.34058,0.94866,9.07494e-05,9.07494e-05,9.07494e-05
115,278.343,0.6029,2.45675,0.89875,0.57082,0.88333,0.75947,0.64557,0.67016,2.34294,0.94893,8.83932e-05,8.83932e-05,8.83932e-05
116,280.741,0.61472,2.54289,0.90495,0.56758,0.85257,0.75133,0.6293,0.71624,2.36701,0.96156,8.6037e-05,8.6037e-05,8.6037e-05
117,282.797,0.65956,2.52012,0.92561,0.56514,0.84513,0.75209,0.62948,0.70686,2.3696,0.95891,8.36808e-05,8.36808e-05,8.36808e-05
118,285,0.61853,2.48412,0.88741,0.5549,0.84634,0.75198,0.64308,0.65826,2.36769,0.94466,8.13246e-05,8.13246e-05,8.13246e-05
119,287.111,0.66704,2.54624,0.92477,0.5484,0.8569,0.76934,0.66109,0.64593,2.34064,0.94408,7.89684e-05,7.89684e-05,7.89684e-05
120,289.615,0.61215,2.46282,0.89511,0.57313,0.85761,0.77776,0.66076,0.67384,2.33202,0.95096,7.66122e-05,7.66122e-05,7.66122e-05
121,292.733,0.60509,2.49874,0.90437,0.57863,0.85157,0.77695,0.65585,0.69277,2.33139,0.95647,7.4256e-05,7.4256e-05,7.4256e-05
122,295.015,0.63958,2.5075,0.90833,0.58921,0.84278,0.77908,0.66185,0.67109,2.32315,0.95006,7.18998e-05,7.18998e-05,7.18998e-05
123,297.008,0.62099,2.48124,0.89949,0.59292,0.84297,0.77329,0.66331,0.64403,2.32221,0.94278,6.95436e-05,6.95436e-05,6.95436e-05
124,299.298,0.65059,2.47964,0.90895,0.59016,0.85291,0.77351,0.66062,0.64953,2.32009,0.94559,6.71874e-05,6.71874e-05,6.71874e-05
125,301.414,0.62964,2.49217,0.93207,0.60158,0.83085,0.77473,0.66593,0.64736,2.31563,0.94538,6.48312e-05,6.48312e-05,6.48312e-05
126,304.085,0.61813,2.47352,0.8875,0.58487,0.84433,0.76811,0.66095,0.64551,2.31825,0.9432,6.2475e-05,6.2475e-05,6.2475e-05
127,306.903,0.63716,2.47983,0.89584,0.58855,0.82668,0.7704,0.66063,0.65015,2.33457,0.94722,6.01188e-05,6.01188e-05,6.01188e-05
128,309.051,0.62868,2.55079,0.90019,0.5788,0.83666,0.76277,0.65139,0.65457,2.31921,0.94882,5.77626e-05,5.77626e-05,5.77626e-05
129,311.205,0.63029,2.52871,0.89355,0.57563,0.83564,0.76945,0.65546,0.66124,2.30949,0.95135,5.54064e-05,5.54064e-05,5.54064e-05
130,313.357,0.61625,2.47509,0.90291,0.57893,0.86691,0.77729,0.66128,0.66671,2.30154,0.9493,5.30502e-05,5.30502e-05,5.30502e-05
131,315.612,0.6125,2.42729,0.90277,0.59076,0.85928,0.77951,0.67191,0.64313,2.29497,0.93742,5.0694e-05,5.0694e-05,5.0694e-05
132,318.77,0.65751,2.51688,0.92404,0.5952,0.84405,0.77846,0.67173,0.64231,2.30364,0.93712,4.83378e-05,4.83378e-05,4.83378e-05
133,321.238,0.6515,2.53833,0.9109,0.59064,0.84608,0.77787,0.67136,0.64228,2.30466,0.93665,4.59816e-05,4.59816e-05,4.59816e-05
134,323.418,0.64087,2.56224,0.90594,0.58731,0.84266,0.77152,0.66475,0.64613,2.30718,0.93583,4.36254e-05,4.36254e-05,4.36254e-05
135,325.641,0.5903,2.40366,0.88061,0.58502,0.83257,0.7671,0.65935,0.64863,2.30933,0.93835,4.12692e-05,4.12692e-05,4.12692e-05
136,327.677,0.58181,2.46506,0.8827,0.58028,0.86253,0.76194,0.65743,0.63917,2.30374,0.93718,3.8913e-05,3.8913e-05,3.8913e-05
137,329.985,0.60667,2.44278,0.90424,0.57373,0.87439,0.76255,0.6573,0.63679,2.30502,0.93801,3.65568e-05,3.65568e-05,3.65568e-05
138,333.222,0.60987,2.46367,0.89708,0.58594,0.87104,0.77165,0.66627,0.63609,2.30384,0.93821,3.42006e-05,3.42006e-05,3.42006e-05
139,335.565,0.64149,2.49672,0.90626,0.58795,0.86566,0.77563,0.66749,0.63643,2.29416,0.93688,3.18444e-05,3.18444e-05,3.18444e-05
140,337.699,0.61929,2.48286,0.90142,0.60517,0.86585,0.78773,0.67907,0.64164,2.28386,0.93678,2.94882e-05,2.94882e-05,2.94882e-05
