vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
1.9347,-58.1573,214.1222,324.0606,73.2043,68.8734,0.0375,0.0124,0.0020,0.0051,0.0033,0.0001,0.0007,0.0000,0.0003,0.0017,0.0113,0.0003,0.0007,0.0050,0.0006,0.0036,0.0414,0.0297,0.0669,0.5801,0.5140,0.6055,0.1695,0.0317
1.5714,-61.4013,213.9572,323.6797,72.8221,68.7190,0.0274,0.0074,0.0022,0.0034,0.0044,0.0000,0.0019,0.0000,0.0002,0.0011,0.0030,0.0003,0.0007,0.0070,0.0008,0.0014,0.0228,0.0363,0.0524,0.5972,0.4190,0.4231,0.0823,0.0109
1.4038,-66.1352,184.0992,474.9257,83.7067,98.3499,0.0321,0.0071,0.0055,0.0029,0.0036,0.0000,0.0015,0.0000,0.0001,0.0007,0.0026,0.0002,0.0010,0.0096,0.0013,0.0032,0.0456,0.0443,0.1439,0.5933,0.2957,0.3011,0.0304,0.0317
1.5938,-54.5073,235.3698,214.9200,67.5779,58.7460,0.0552,0.0119,0.0018,0.0047,0.0014,0.0000,0.0017,0.0000,0.0011,0.0010,0.0081,0.0008,0.0005,0.0057,0.0004,0.0009,0.0135,0.0090,0.0204,0.4710,0.3707,0.5861,0.1432,0.0337
1.4862,-56.8761,214.4962,324.0732,72.9365,69.3661,0.0247,0.0092,0.0014,0.0051,0.0019,0.0001,0.0011,0.0000,0.0004,0.0006,0.0107,0.0003,0.0004,0.0055,0.0006,0.0018,0.0092,0.0125,0.0362,0.4273,0.3984,0.5658,0.0731,0.0261
1.2171,-54.2624,405.8442,489.0815,105.6595,105.1527,0.0172,0.0058,0.0005,0.0033,0.0022,0.0001,0.0015,0.0000,0.0002,0.0013,0.0086,0.0003,0.0003,0.0037,0.0004,0.0010,0.0165,0.0046,0.0108,0.2834,0.2888,0.5650,0.0827,0.0190
1.5867,-54.0068,395.1848,326.3926,84.0138,67.7663,0.0430,0.0062,0.0008,0.0017,0.0031,0.0000,0.0014,0.0000,0.0001,0.0010,0.0044,0.0009,0.0006,0.0030,0.0008,0.0016,0.0151,0.0156,0.0197,0.3411,0.4957,0.5447,0.1926,0.0149
1.6844,-48.4285,570.8829,317.7793,101.4703,69.6407,0.0408,0.0134,0.0005,0.0024,0.0011,0.0002,0.0007,0.0000,0.0002,0.0013,0.0265,0.0008,0.0003,0.0051,0.0006,0.0011,0.0051,0.0042,0.0047,0.2791,0.4565,0.5406,0.4045,0.0652
1.1459,-48.8502,394.0188,325.9910,83.2927,69.0497,0.0441,0.0189,0.0013,0.0044,0.0043,0.0001,0.0005,0.0000,0.0004,0.0026,0.0108,0.0003,0.0003,0.0044,0.0009,0.0010,0.0155,0.0050,0.0090,0.1563,0.2873,0.5392,0.1259,0.0391
1.5846,-51.5930,235.6404,214.2616,66.3264,58.3607,0.0654,0.0491,0.0032,0.0055,0.0062,0.0001,0.0007,0.0000,0.0006,0.0034,0.0061,0.0008,0.0004,0.0061,0.0008,0.0016,0.0200,0.0168,0.0202,0.3588,0.4728,0.5166,0.1533,0.0679
1.3495,-48.2087,570.5754,318.5726,99.7566,70.0603,0.0400,0.0115,0.0007,0.0027,0.0020,0.0001,0.0003,0.0000,0.0002,0.0014,0.0119,0.0006,0.0003,0.0043,0.0008,0.0013,0.0094,0.0052,0.0041,0.1982,0.3426,0.5065,0.2901,0.0381
1.5229,-56.2663,407.4713,489.5672,106.5386,106.3593,0.0175,0.0052,0.0005,0.0038,0.0018,0.0001,0.0024,0.0000,0.0004,0.0007,0.0200,0.0003,0.0004,0.0035,0.0005,0.0009,0.0050,0.0063,0.0128,0.4639,0.4379,0.4901,0.1635,0.0200
1.5360,-44.4959,381.6917,213.3631,71.6585,54.5726,0.1203,0.0597,0.0038,0.0063,0.0069,0.0001,0.0005,0.0000,0.0008,0.0041,0.0066,0.0015,0.0003,0.0082,0.0011,0.0011,0.0139,0.0104,0.0101,0.2224,0.4294,0.4816,0.2339,0.1253
1.2101,-50.3962,393.6471,325.7270,83.6031,68.5302,0.0238,0.0074,0.0006,0.0032,0.0012,0.0001,0.0013,0.0000,0.0005,0.0011,0.0179,0.0009,0.0003,0.0028,0.0004,0.0006,0.0041,0.0040,0.0044,0.2357,0.3024,0.4571,0.2359,0.0222
0.8926,-52.9434,406.8647,488.7417,106.2951,104.8784,0.0122,0.0053,0.0006,0.0020,0.0019,0.0001,0.0008,0.0000,0.0002,0.0012,0.0079,0.0004,0.0002,0.0014,0.0004,0.0012,0.0136,0.0031,0.0067,0.1792,0.1977,0.4469,0.0735,0.0117
1.0719,-44.0793,608.4737,492.5425,63.2285,106.8079,0.1130,0.0214,0.0018,0.0044,0.0019,0.0002,0.0004,0.0000,0.0005,0.0017,0.0040,0.0008,0.0002,0.0021,0.0011,0.0010,0.0060,0.0093,0.0145,0.1616,0.1988,0.4330,0.1617,0.0604
0.9481,-50.6202,608.8729,492.5951,62.4678,106.3533,0.0341,0.0152,0.0021,0.0039,0.0045,0.0001,0.0005,0.0000,0.0003,0.0017,0.0035,0.0003,0.0004,0.0026,0.0008,0.0013,0.0125,0.0118,0.0215,0.1199,0.2883,0.4079,0.0812,0.0315
0.8700,-66.2605,183.9864,474.7537,83.5226,97.7639,0.0242,0.0035,0.0025,0.0042,0.0020,0.0000,0.0014,0.0000,0.0001,0.0007,0.0024,0.0003,0.0006,0.0057,0.0016,0.0038,0.0177,0.0340,0.0694,0.4026,0.2016,0.1475,0.0232,0.0185
0.8866,-54.4069,381.6630,212.9599,72.7720,54.4023,0.0227,0.0066,0.0008,0.0028,0.0007,0.0001,0.0011,0.0000,0.0009,0.0009,0.0063,0.0008,0.0004,0.0041,0.0004,0.0005,0.0042,0.0034,0.0051,0.2590,0.2252,0.3194,0.0816,0.0239
0.7203,-50.3966,540.8893,208.6293,75.8900,53.3073,0.0217,0.0044,0.0009,0.0020,0.0022,0.0001,0.0007,0.0000,0.0002,0.0011,0.0029,0.0006,0.0004,0.0028,0.0015,0.0012,0.0109,0.0057,0.0064,0.0908,0.2117,0.2998,0.1065,0.0129
0.7212,-49.7372,570.6370,318.2393,100.4849,71.3471,0.0229,0.0045,0.0006,0.0021,0.0023,0.0001,0.0008,0.0000,0.0001,0.0011,0.0037,0.0003,0.0004,0.0037,0.0017,0.0017,0.0061,0.0039,0.0081,0.1129,0.1983,0.2582,0.1420,0.0174
0.6236,-54.3184,397.0262,326.6702,80.7262,66.8613,0.0090,0.0055,0.0004,0.0026,0.0023,0.0000,0.0006,0.0000,0.0002,0.0014,0.0026,0.0004,0.0003,0.0020,0.0005,0.0004,0.0089,0.0058,0.0027,0.1423,0.1719,0.2570,0.0583,0.0039
