epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,170.842,0.67968,3.0293,0.92451,0.44433,0.8274,0.67961,0.57466,0.65976,2.75346,0.90428,0.000168504,0.000168504,0.000168504
82,172.467,0.70806,3.05762,0.94033,0.46482,0.82365,0.66791,0.55687,0.70235,2.76537,0.91132,0.000166148,0.000166148,0.000166148
83,174.168,0.6616,2.85805,0.92303,0.45722,0.82317,0.68153,0.56311,0.72575,2.73302,0.91466,0.000163792,0.000163792,0.000163792
84,175.94,0.68458,3.07733,0.91968,0.47411,0.87165,0.7362,0.62422,0.64915,2.63529,0.89874,0.000161435,0.000161435,0.000161435
85,177.976,0.67458,2.97835,0.92375,0.54917,0.79103,0.74051,0.6417,0.61603,2.63203,0.89176,0.000159079,0.000159079,0.000159079
86,180.492,0.66599,2.95155,0.91711,0.56732,0.81955,0.74365,0.64483,0.60295,2.61801,0.88817,0.000156723,0.000156723,0.000156723
87,182.207,0.6867,2.94617,0.93029,0.60877,0.82357,0.7576,0.65477,0.61502,2.58751,0.89098,0.000154367,0.000154367,0.000154367
88,183.887,0.69243,2.9533,0.9351,0.56371,0.83586,0.76008,0.62864,0.70616,2.54602,0.91219,0.000152011,0.000152011,0.000152011
89,185.563,0.68475,3.06757,0.92383,0.52434,0.85955,0.74973,0.62443,0.68435,2.54249,0.90758,0.000149654,0.000149654,0.000149654
90,187.431,0.65556,2.96274,0.90498,0.52617,0.84589,0.75161,0.63702,0.64774,2.52824,0.90156,0.000147298,0.000147298,0.000147298
91,189.105,0.66775,2.84127,0.91706,0.5381,0.82073,0.76859,0.66673,0.60727,2.52592,0.89366,0.000144942,0.000144942,0.000144942
92,191.126,0.69464,2.9187,0.93672,0.56744,0.77614,0.76321,0.65779,0.62158,2.56879,0.89315,0.000142586,0.000142586,0.000142586
93,193.495,0.67099,2.99662,0.90956,0.57845,0.79225,0.77261,0.64322,0.68292,2.57815,0.90833,0.00014023,0.00014023,0.00014023
94,195.263,0.62149,2.83317,0.89811,0.58468,0.81637,0.75313,0.61375,0.73385,2.57895,0.92141,0.000137873,0.000137873,0.000137873
