group_id,best_class,max_conf,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15,x1,y1,x2
3,Leanbot_p195,0.18,438.49,258.53,50.03,27.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.10,413.48,244.69,463.50
3,Leanbot_m15,0.16,438.33,258.64,50.48,27.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,413.09,244.93,463.57
3,Leanbot_m15,0.14,438.47,258.64,50.24,27.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,413.35,244.95,463.59
3,Leanbot_p195,0.11,438.17,258.20,51.01,28.70,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.11,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,412.67,243.85,463.68
3,Leanbot_m15,0.08,439.45,258.85,47.43,25.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,415.74,245.91,463.16
3,Leanbot_p195,0.07,438.33,258.34,49.75,28.49,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,413.45,244.09,463.20
3,Leanbot_p180,0.06,438.52,258.77,49.49,26.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,413.77,245.60,463.26
3,Leanbot_p195,0.05,438.21,258.13,50.66,28.11,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,412.88,244.07,463.54
3,Leanbot_p195,0.05,437.03,258.93,48.39,26.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,412.83,245.75,461.22
3,Leanbot_p180,0.04,438.98,258.87,49.22,26.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,414.37,245.52,463.59
