group_id,anchor_id,vector_magnitude,predicted_angle,x_center,y_center,width,height,top_class,top_class_score,vector_x,vector_y,contribution_pct
5,16,0.0037,-24.3500,201.0500,192.1600,79.7900,50.4800,Leanbot_m15,0.0015,0.0034,-0.0015,0.0300
5,17,0.0037,-34.7400,199.4800,191.4300,78.4400,47.4700,Leanbot_m15,0.0036,0.0030,-0.0021,0.0300
6,0,2.1917,-15.7700,352.4600,294.2200,90.5400,58.7800,Leanbot_m15,0.8151,2.1091,-0.5958,14.8400
6,1,2.1719,-17.5400,352.7700,294.1000,89.8100,58.8600,Leanbot_m15,0.7938,2.0708,-0.6547,14.7100
6,2,2.0473,-15.9100,352.2000,294.2900,90.4600,59.0000,Leanbot_m15,0.8403,1.9689,-0.5611,13.8600
6,3,1.9331,-14.8300,352.1800,294.5500,91.0700,58.8000,Leanbot_m15,0.7877,1.8687,-0.4946,13.0900
6,4,1.8022,-17.1700,352.0800,294.1800,88.6700,59.0200,Leanbot_m15,0.5471,1.7219,-0.5321,12.2000
6,5,1.4423,-18.2800,352.3800,294.2200,89.3400,58.5900,Leanbot_m15,0.5852,1.3694,-0.4525,9.7700
6,6,1.0292,-16.8100,352.5500,294.2400,90.0800,58.8000,Leanbot_m15,0.3431,0.9852,-0.2977,6.9700
6,7,0.8500,-17.7000,352.6300,294.2400,90.1800,58.6800,Leanbot_m15,0.2820,0.8098,-0.2584,5.7600
6,8,0.6638,-12.7400,351.6400,294.0900,91.3000,59.2400,Leanbot_m15,0.2466,0.6474,-0.1464,4.4900
6,9,0.2262,-11.2100,351.8300,294.1300,88.6300,58.0500,Leanbot_0,0.0903,0.2219,-0.0440,1.5300
6,10,0.1808,-29.5000,352.3000,293.9900,89.1600,58.4000,Leanbot_m30,0.0450,0.1573,-0.0890,1.2200
6,11,0.1443,-17.7300,352.3900,295.2500,91.7300,57.7000,Leanbot_m15,0.0469,0.1375,-0.0440,0.9800
6,12,0.0721,-25.9800,352.8700,294.1100,90.5500,58.5500,Leanbot_m15,0.0287,0.0648,-0.0316,0.4900
6,13,0.0125,-24.1100,349.9200,294.3100,84.7000,58.4000,Leanbot_0,0.0046,0.0114,-0.0051,0.0800
6,14,0.0069,-33.1000,354.2300,295.6200,88.4900,56.2300,Leanbot_m45,0.0026,0.0058,-0.0038,0.0500
6,15,0.0027,-41.4600,348.1200,292.4800,86.6500,55.9700,Leanbot_m15,0.0016,0.0020,-0.0018,0.0200
6,16,0.0015,-35.4100,350.8900,291.5100,90.2600,53.7700,Leanbot_m15,0.0013,0.0013,-0.0009,0.0100
7,0,2.1045,-12.4700,126.8400,435.2700,110.7500,74.8500,Leanbot_m15,0.7856,2.0549,-0.4543,16.7600
7,1,1.9668,-14.3400,127.4800,435.5800,110.4600,73.9000,Leanbot_m15,0.8403,1.9055,-0.4870,15.6600
7,2,1.5774,-11.7100,126.4600,435.5200,110.6600,75.3800,Leanbot_m15,0.6125,1.5446,-0.3202,12.5600
7,3,1.5224,-15.4300,127.1000,435.2900,110.0000,74.2400,Leanbot_m15,0.6627,1.4675,-0.4051,12.1200
7,4,1.4108,-16.0900,127.5200,435.7900,111.0800,73.7100,Leanbot_m15,0.6458,1.3555,-0.3911,11.2300
7,5,1.2375,-9.0900,126.9900,435.2900,111.4000,74.3100,Leanbot_m15,0.4694,1.2220,-0.1955,9.8500
7,6,0.9937,-12.6000,126.5200,436.0100,108.2600,73.1100,Leanbot_m15,0.4188,0.9698,-0.2167,7.9100
7,7,0.7962,-9.1200,127.4900,435.4800,111.3100,74.3000,Leanbot_0,0.3193,0.7862,-0.1262,6.3400
7,8,0.4168,-20.1600,126.5400,434.9800,109.9800,75.0800,Leanbot_m15,0.1472,0.3913,-0.1437,3.3200
7,9,0.3012,-3.6200,126.0500,435.4800,111.5000,74.5200,Leanbot_m15,0.1007,0.3006,-0.0190,2.4000
7,10,0.1277,-4.1200,126.1100,435.7400,108.1400,73.0700,Leanbot_0,0.0522,0.1273,-0.0092,1.0200
7,11,0.0635,-17.6500,125.6100,435.9700,107.6800,72.6300,Leanbot_m15,0.0292,0.0605,-0.0193,0.5100
7,12,0.0252,-11.6600,123.7300,435.4800,103.0300,70.9200,Leanbot_0,0.0130,0.0247,-0.0051,0.2000
7,13,0.0150,-14.0900,125.7000,435.4100,112.4100,74.5300,Leanbot_p15,0.0051,0.0146,-0.0037,0.1200
7,14,0.0098,-25.3400,125.4700,435.8200,111.8700,74.5200,Leanbot_m45,0.0048,0.0089,-0.0042,0.0800
7,15,0.0051,1.8300,122.4000,435.2500,99.6600,69.8700,Leanbot_0,0.0022,0.0051,0.0002,0.0400
7,16,0.0028,-9.9000,126.9700,435.0000,109.1800,70.6200,Leanbot_m15,0.0016,0.0028,-0.0005,0.0200
7,17,0.0024,-12.2700,126.2400,436.0000,108.7100,73.4700,Leanbot_m15,0.0012,0.0024,-0.0005,0.0200
7,18,0.0004,-165.0600,127.3600,434.9200,108.1400,69.7000,Leanbot_m15,0.0012,-0.0004,-0.0001,0.0000
8,0,2.0836,-10.8800,509.8200,293.0400,92.3100,59.2200,Leanbot_m15,0.7809,2.0462,-0.3932,16.3000
8,1,2.0186,-10.3700,510.1100,292.8600,93.1300,59.2000,Leanbot_m15,0.8284,1.9856,-0.3632,15.7900
8,2,1.8167,-12.8200,510.1400,293.2000,91.5400,59.5500,Leanbot_m15,0.7185,1.7715,-0.4030,14.2100
8,3,1.6416,-10.8000,509.9100,293.2400,92.2800,59.9400,Leanbot_m15,0.7533,1.6125,-0.3077,12.8400
8,4,1.3982,-9.5000,509.7400,293.0500,93.4400,59.3100,Leanbot_0,0.5652,1.3791,-0.2307,10.9400
8,5,1.1267,-11.2200,510.4800,293.2100,92.9200,59.4600,Leanbot_m15,0.5581,1.1051,-0.2193,8.8100
8,6,0.8381,-12.7100,510.2500,293.1300,92.0000,59.0800,Leanbot_m15,0.3577,0.8175,-0.1844,6.5600
8,7,0.7194,-10.1800,509.6100,293.0200,92.2500,59.4900,Leanbot_m15,0.2693,0.7080,-0.1272,5.6300
8,8,0.6813,-6.8700,510.2000,292.8400,93.4600,59.4300,Leanbot_0,0.3223,0.6764,-0.0815,5.3300
8,9,0.1866,-13.1800,510.6600,293.6400,90.9200,58.9200,Leanbot_m15,0.0716,0.1817,-0.0426,1.4600
8,10,0.1215,-1.9300,509.7600,293.0700,93.7600,58.0000,Leanbot_0,0.0588,0.1214,-0.0041,0.9500
8,11,0.0505,-25.2500,508.8300,293.4200,93.7800,59.4600,Leanbot_m15,0.0246,0.0457,-0.0216,0.4000
8,12,0.0461,-17.4900,510.1800,292.8000,93.4200,58.9300,Leanbot_0,0.0198,0.0440,-0.0139,0.3600
8,13,0.0344,-2.8900,509.8900,293.1200,92.9600,58.8300,Leanbot_0,0.0201,0.0344,-0.0017,0.2700
8,14,0.0093,-24.7600,513.0800,293.6500,85.4300,59.1200,Leanbot_m15,0.0036,0.0084,-0.0039,0.0700
8,15,0.0081,1.9700,508.8700,292.7400,91.2900,56.6700,Leanbot_p15,0.0038,0.0081,0.0003,0.0600
8,16,0.0054,-31.1000,509.1200,292.3800,93.3100,59.3500,Leanbot_m15,0.0019,0.0046,-0.0028,0.0400
8,17,0.0043,-56.3400,508.5300,291.3300,90.3800,54.7300,Leanbot_m15,0.0031,0.0024,-0.0036,0.0300
8,18,0.0016,-33.9300,509.4600,291.1000,93.1400,54.0500,Leanbot_m15,0.0018,0.0013,-0.0009,0.0100
8,19,0.0012,-102.8100,508.1300,290.8700,89.6900,56.0800,Leanbot_m15,0.0022,-0.0003,-0.0011,0.0100
9,0,1.9282,-13.1500,540.7100,438.5000,115.5400,77.4000,Leanbot_m15,0.7420,1.8776,-0.4388,19.7000
9,1,1.8519,-20.3200,542.0800,438.7400,112.6900,77.6600,Leanbot_m15,0.6122,1.7367,-0.6431,18.9200
9,2,1.4402,-13.5200,541.0900,438.4600,115.0200,76.9600,Leanbot_m15,0.6220,1.4003,-0.3366,14.7100
9,3,1.2871,-10.3800,540.8700,438.5800,115.9500,77.1700,Leanbot_0,0.5128,1.2661,-0.2319,13.1500
9,4,0.9440,-20.6800,542.1100,438.3700,112.4200,77.6800,Leanbot_m15,0.3339,0.8832,-0.3334,9.6400
9,5,0.8447,-14.3000,540.5700,438.2900,116.3200,76.9300,Leanbot_m15,0.3693,0.8185,-0.2086,8.6300
9,6,0.4099,-13.6300,540.7400,438.5600,114.7100,76.9900,Leanbot_m15,0.1649,0.3984,-0.0966,4.1900
9,7,0.3364,-5.7100,540.4500,438.6000,114.9800,76.5100,Leanbot_0,0.1488,0.3347,-0.0335,3.4400
9,8,0.2316,-29.2000,542.9800,438.7200,110.9800,75.9200,Leanbot_m30,0.0541,0.2021,-0.1130,2.3700
9,9,0.1502,-5.8400,540.7400,438.1800,114.5900,76.8700,Leanbot_0,0.0642,0.1495,-0.0153,1.5300
9,10,0.1274,-34.2000,543.4300,438.2200,110.3200,78.7700,Leanbot_m30,0.0349,0.1054,-0.0716,1.3000
9,11,0.1064,-22.8300,541.2600,438.7900,113.3400,76.7300,Leanbot_m15,0.0372,0.0980,-0.0413,1.0900
9,12,0.0513,-0.0100,540.0100,437.8700,112.5200,75.9900,Leanbot_0,0.0254,0.0513,-0.0000,0.5200
9,13,0.0352,-13.0200,540.3400,438.1800,115.2300,76.6000,Leanbot_0,0.0141,0.0343,-0.0079,0.3600
