epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,143.842,0.68837,2.94311,0.9187,0.54478,0.82241,0.72966,0.63009,0.6211,2.55747,0.88501,0.000159079,0.000159079,0.000159079
86,145.303,0.67267,2.93984,0.90803,0.52717,0.86361,0.7238,0.63178,0.58719,2.5521,0.88206,0.000156723,0.000156723,0.000156723
87,146.836,0.68799,2.9136,0.92843,0.52789,0.84712,0.72275,0.62979,0.57851,2.50683,0.88234,0.000154367,0.000154367,0.000154367
88,148.276,0.68971,2.85763,0.9258,0.56026,0.80648,0.74199,0.62887,0.66331,2.40558,0.89634,0.000152011,0.000152011,0.000152011
89,149.679,0.63437,2.84726,0.90839,0.55874,0.82678,0.75612,0.62766,0.71737,2.38508,0.91027,0.000149654,0.000149654,0.000149654
90,151.145,0.67434,2.79792,0.90624,0.53906,0.83951,0.7582,0.63178,0.70416,2.37396,0.90936,0.000147298,0.000147298,0.000147298
91,152.59,0.65099,2.81297,0.89806,0.56536,0.79005,0.75611,0.64943,0.62885,2.36179,0.89249,0.000144942,0.000144942,0.000144942
92,154.53,0.68447,2.9176,0.92883,0.58332,0.82376,0.73952,0.64562,0.56606,2.38973,0.88127,0.000142586,0.000142586,0.000142586
93,156.536,0.67075,2.91429,0.90593,0.54966,0.82566,0.73233,0.64035,0.57713,2.40507,0.88214,0.00014023,0.00014023,0.00014023
94,158.064,0.66769,2.84171,0.91199,0.49924,0.83174,0.73104,0.63345,0.6083,2.41713,0.88779,0.000137873,0.000137873,0.000137873
95,159.546,0.63043,2.92739,0.89686,0.457,0.84234,0.71346,0.61263,0.63221,2.43908,0.8916,0.000135517,0.000135517,0.000135517
96,160.989,0.67451,2.88195,0.89612,0.45956,0.81451,0.69868,0.61,0.58191,2.43796,0.88096,0.000133161,0.000133161,0.000133161
97,162.417,0.6176,2.77663,0.89251,0.44786,0.84496,0.71681,0.63175,0.55444,2.41171,0.87889,0.000130805,0.000130805,0.000130805
98,163.794,0.6321,2.80089,0.89223,0.47017,0.88125,0.73805,0.64907,0.55765,2.38958,0.88512,0.000128449,0.000128449,0.000128449
99,165.387,0.64416,2.86824,0.9005,0.4756,0.89433,0.73937,0.64972,0.56445,2.38896,0.88846,0.000126092,0.000126092,0.000126092
100,167.154,0.6393,2.86091,0.9309,0.49721,0.87223,0.72341,0.62272,0.61168,2.39783,0.8918,0.000123736,0.000123736,0.000123736
101,169.421,0.65218,2.7615,0.9134,0.48949,0.89244,0.72176,0.61646,0.63787,2.40092,0.89523,0.00012138,0.00012138,0.00012138
102,171.1,0.63509,2.8156,0.90369,0.50658,0.90407,0.73381,0.62697,0.63267,2.38143,0.8931,0.000119024,0.000119024,0.000119024
103,172.562,0.67599,2.8546,0.90053,0.53445,0.87823,0.74619,0.64341,0.59754,2.35726,0.885,0.000116668,0.000116668,0.000116668
104,174.222,0.65747,2.78968,0.907,0.58234,0.87745,0.77212,0.67371,0.56089,2.34066,0.88175,0.000114311,0.000114311,0.000114311
105,175.68,0.65749,2.75137,0.90714,0.5821,0.86856,0.76785,0.67177,0.56417,2.33363,0.88399,0.000111955,0.000111955,0.000111955
106,177.024,0.65557,2.73722,0.92806,0.54949,0.89308,0.76495,0.6665,0.57312,2.32007,0.88508,0.000109599,0.000109599,0.000109599
107,178.542,0.62749,2.77756,0.90747,0.53576,0.88467,0.7543,0.64957,0.59657,2.31582,0.88702,0.000107243,0.000107243,0.000107243
108,180.179,0.63602,2.77214,0.90416,0.51485,0.86772,0.73991,0.62868,0.65595,2.32135,0.89968,0.000104887,0.000104887,0.000104887
109,182.456,0.69497,2.73165,0.92768,0.54073,0.87351,0.74837,0.63429,0.66564,2.30792,0.90237,0.00010253,0.00010253,0.00010253
110,184.31,0.62761,2.77098,0.91366,0.54132,0.87583,0.75563,0.64126,0.6412,2.29642,0.89511,0.000100174,0.000100174,0.000100174
111,185.778,0.63502,2.73085,0.90595,0.53399,0.85839,0.75469,0.64374,0.64139,2.30395,0.89393,9.7818e-05,9.7818e-05,9.7818e-05
112,187.248,0.68188,2.74758,0.92446,0.50825,0.84256,0.75177,0.63869,0.64058,2.31743,0.88812,9.54618e-05,9.54618e-05,9.54618e-05
113,188.769,0.6105,2.6579,0.89472,0.49501,0.83018,0.75104,0.64937,0.59959,2.30888,0.88039,9.31056e-05,9.31056e-05,9.31056e-05
114,190.216,0.64401,2.76604,0.92158,0.48575,0.85829,0.74549,0.64576,0.58235,2.31046,0.88058,9.07494e-05,9.07494e-05,9.07494e-05
115,191.724,0.6283,2.69779,0.90722,0.48397,0.85344,0.73051,0.63821,0.57324,2.31864,0.88091,8.83932e-05,8.83932e-05,8.83932e-05
116,193.291,0.61749,2.74137,0.89565,0.48265,0.87254,0.73795,0.64373,0.57909,2.30359,0.88099,8.6037e-05,8.6037e-05,8.6037e-05
117,195.494,0.61639,2.78086,0.89764,0.48594,0.90589,0.74625,0.64824,0.58399,2.29202,0.88184,8.36808e-05,8.36808e-05,8.36808e-05
118,197.287,0.64437,2.71836,0.89541,0.48788,0.86636,0.743,0.64429,0.57335,2.29103,0.87966,8.13246e-05,8.13246e-05,8.13246e-05
119,198.793,0.64343,2.76758,0.8933,0.48222,0.89678,0.7333,0.64161,0.55208,2.29798,0.87561,7.89684e-05,7.89684e-05,7.89684e-05
120,200.282,0.58845,2.64295,0.8954,0.52004,0.89133,0.74897,0.66064,0.53641,2.27541,0.87299,7.66122e-05,7.66122e-05,7.66122e-05
121,201.826,0.59553,2.65994,0.89615,0.53271,0.88177,0.77034,0.6818,0.53203,2.24998,0.87176,7.4256e-05,7.4256e-05,7.4256e-05
122,203.333,0.59906,2.72623,0.90473,0.52356,0.89134,0.78216,0.69091,0.53304,2.22731,0.86908,7.18998e-05,7.18998e-05,7.18998e-05
123,204.884,0.6105,2.66414,0.89382,0.55447,0.88249,0.78547,0.69,0.549,2.21425,0.86958,6.95436e-05,6.95436e-05,6.95436e-05
124,206.319,0.60034,2.61885,0.90104,0.58828,0.85404,0.78837,0.69165,0.55375,2.22212,0.87184,6.71874e-05,6.71874e-05,6.71874e-05
125,208.819,0.62264,2.66218,0.90041,0.57353,0.83817,0.78825,0.69482,0.54683,2.2314,0.87155,6.48312e-05,6.48312e-05,6.48312e-05
126,210.637,0.60156,2.54971,0.88233,0.5545,0.83571,0.77899,0.68632,0.54426,2.23866,0.87228,6.2475e-05,6.2475e-05,6.2475e-05
127,212.136,0.62837,2.62371,0.88994,0.54705,0.83853,0.7718,0.67982,0.54156,2.24083,0.87247,6.01188e-05,6.01188e-05,6.01188e-05
128,213.599,0.61614,2.65532,0.90697,0.54807,0.81345,0.76389,0.67391,0.53882,2.22902,0.87114,5.77626e-05,5.77626e-05,5.77626e-05
129,215.111,0.62149,2.6148,0.90459,0.52819,0.82781,0.76508,0.67458,0.54518,2.22289,0.87109,5.54064e-05,5.54064e-05,5.54064e-05
130,216.632,0.60776,2.66829,0.88758,0.51391,0.83978,0.76817,0.6763,0.55104,2.22058,0.87143,5.30502e-05,5.30502e-05,5.30502e-05
131,218.229,0.58954,2.52706,0.89528,0.51098,0.86614,0.76981,0.67486,0.561,2.21891,0.87238,5.0694e-05,5.0694e-05,5.0694e-05
132,219.862,0.59353,2.52482,0.88804,0.49129,0.89874,0.77198,0.67277,0.57064,2.22087,0.87258,4.83378e-05,4.83378e-05,4.83378e-05
133,221.977,0.67004,2.7416,0.91826,0.49121,0.89608,0.76974,0.66849,0.58352,2.2198,0.87439,4.59816e-05,4.59816e-05,4.59816e-05
134,223.833,0.60149,2.68651,0.89091,0.48408,0.90096,0.76911,0.66442,0.59097,2.21823,0.87569,4.36254e-05,4.36254e-05,4.36254e-05
135,225.243,0.5803,2.53879,0.89647,0.4918,0.89759,0.76667,0.66686,0.58316,2.2115,0.87447,4.12692e-05,4.12692e-05,4.12692e-05
136,226.762,0.59733,2.54365,0.88053,0.50711,0.87094,0.76882,0.67532,0.55125,2.20762,0.86934,3.8913e-05,3.8913e-05,3.8913e-05
137,228.104,0.63693,2.65384,0.91468,0.53654,0.86875,0.7756,0.68018,0.54592,2.20288,0.8689,3.65568e-05,3.65568e-05,3.65568e-05
138,229.676,0.57954,2.53118,0.88291,0.55013,0.85776,0.78076,0.68901,0.54264,2.19867,0.86861,3.42006e-05,3.42006e-05,3.42006e-05
139,231.085,0.58342,2.53722,0.9104,0.55056,0.85547,0.78259,0.69019,0.54172,2.19818,0.86875,3.18444e-05,3.18444e-05,3.18444e-05
140,232.612,0.61713,2.62824,0.90455,0.55388,0.87247,0.78094,0.69246,0.53621,2.1913,0.86754,2.94882e-05,2.94882e-05,2.94882e-05
141,236.787,0.56459,2.61441,0.88531,0.54159,0.87234,0.78096,0.69206,0.53367,2.18972,0.86801,2.7132e-05,2.7132e-05,2.7132e-05
142,238.744,0.57918,2.65646,0.88452,0.53376,0.86512,0.7744,0.68531,0.53426,2.19038,0.86886,2.47758e-05,2.47758e-05,2.47758e-05
143,240.102,0.5561,2.56663,0.8928,0.53364,0.86814,0.76908,0.68056,0.53537,2.18838,0.86882,2.24196e-05,2.24196e-05,2.24196e-05
144,241.57,0.54312,2.47541,0.8616,0.54495,0.8743,0.76465,0.67529,0.54512,2.18471,0.87011,2.00634e-05,2.00634e-05,2.00634e-05
145,243.018,0.60576,2.62265,0.91242,0.54184,0.86347,0.75956,0.66876,0.54597,2.18917,0.87073,1.77072e-05,1.77072e-05,1.77072e-05
146,244.41,0.54365,2.41753,0.8587,0.53564,0.86939,0.75907,0.66612,0.55105,2.19141,0.87097,1.5351e-05,1.5351e-05,1.5351e-05
147,246.244,0.58301,2.5757,0.88785,0.53962,0.86139,0.76151,0.66912,0.55794,2.19344,0.87142,1.29948e-05,1.29948e-05,1.29948e-05
148,248.369,0.52155,2.59067,0.88054,0.54677,0.8428,0.76683,0.67168,0.56293,2.19227,0.87242,1.06386e-05,1.06386e-05,1.06386e-05
149,250.088,0.52117,2.51297,0.87786,0.55224,0.84413,0.76667,0.67115,0.56192,2.18916,0.87246,8.2824e-06,8.2824e-06,8.2824e-06
150,251.509,0.55644,2.65033,0.86439,0.55603,0.84921,0.76585,0.67185,0.56223,2.19315,0.87276,5.9262e-06,5.9262e-06,5.9262e-06
